 报告日期,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,0,0,0, 
 支付给职工以及为职工支付的现金(万元),205557,144375,127894,97728,85667,67431,48528,29244,27207,27900,29049,23185, 
 支付的各项税费(万元),531139,223917,172868,208373,200520,119573,100362,36543,32461,96992,119677,56496, 
 支付的其他与经营活动有关的现金(万元),218410,199088,177587,145425,140462,104796,87383,67179,49081,57988,59834,28159, 
 经营活动现金流出小计(万元),5326554,3030692,2228655,2655721,2213582,1546221,1427788,1024864,670645,817637,782835,450624, 
 经营活动产生的现金流量净额(万元),1021215,734884,460239,402051,386926,380618,201243,41336,145438,200020,128238,93235, 
 收回投资所收到的现金(万元),--,--,--,9683,2579,--,935,3292,30401,6741,28559,10446, 
 取得投资收益所收到的现金(万元),2903,3000,600,300,391,433,995,2981,1704,246,200,40, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),3598,183,6344,63,474,631,782,930,2047,530,1,209, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--,0,2059,0, 
 收到的其他与投资活动有关的现金(万元),49565,19400,488,--,--,2167,1192,--,--,23453,0,0, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,0,0,0, 
 投资活动现金流入小计(万元),56066,22583,7432,10047,3445,3230,3904,7203,34152,30969,30818,10695, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),595265,411346,516046,905029,677079,393471,290373,129927,175807,101386,52994,46673, 
 投资所支付的现金(万元),6580,1500,10000,--,6887,2003,510,11790,35569,16176,13755,11713, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,0,0,0, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,7298,--,--,--,9755,--,0,754,0, 
 支付的其他与投资活动有关的现金(万元),213,6695,3846,303,1127,--,--,--,--,6000,0,4222, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,0,0,0, 
 投资活动现金流出小计(万元),602058,419541,529892,912630,685092,395474,290883,151472,211377,123562,67503,62609, 
 投资活动产生的现金流量净额(万元),-545992,-396958,-522461,-902583,-681647,-392244,-286979,-144270,-177224,-92592,-36684,-51913, 
 吸收投资收到的现金(万元),248730,--,3038,18913,16000,--,--,--,4900,5508,0,16532, 
 其中：子公司吸收少数股东投资收到的现金(万元),2730,--,3038,18913,16000,--,--,--,4900,5508,0,16532, 
 取得借款收到的现金(万元),2445354,2063708,2766283,1914578,1315740,946792,738724,437469,265945,151301,183571,110570, 
 发行债券收到的现金(万元),--,170000,--,100000,--,100000,85000,--,--,0,0,0, 
 收到其他与筹资活动有关的现金(万元),--,--,--,--,--,--,--,82700,--,0,0,0, 
 筹资活动现金流入小计(万元),2694084,2233708,2769320,2033491,1331740,1046792,823724,520169,270845,156809,183571,127102, 
 偿还债务支付的现金(万元),2328962,2388054,2405565,1243955,820886,877558,515421,286944,146995,175291,128489,139292, 
 分配股利、利润或偿付利息所支付的现金(万元),429806,194891,186631,285146,249112,197965,132339,74542,102104,97921,28852,25320, 
 其中：子公司支付给少数股东的股利、利润(万元),223959,49148,13906,39921,46976,29609,42391,15711,12042,18685,4590,0, 
 支付其他与筹资活动有关的现金(万元),269,1190,1497,4269,996,503,892,--,82700,0,3000,200, 
 筹资活动现金流出小计(万元),3060077,2584135,2593692,1533369,1070994,1076026,648651,361486,331799,273211,160340,164811, 
 筹资活动产生的现金流量净额(万元),-365993,-350427,175628,500121,260746,-29233,175073,158683,-60953,-116403,23230,-37709, 
 汇率变动对现金及现金等价物的影响(万元),-884,2556,-6641,981,-4393,537,-1287,-860,222,-877,-605,-91, 
 现金及现金等价物净增加额(万元),108345,-9944,106766,571,-38368,-40322,88051,54889,-92518,-9852,114179,3521, 
 加:期初现金及现金等价物余额(万元),196285,206229,99463,98892,137261,177583,89532,34643,127160,137012,22833,19312, 
 期末现金及现金等价物余额(万元),304630,196285,206229,99463,98892,137261,177583,89532,34643,127160,137012,22833, 
 净利润(万元),1330932,454807,227956,321755,376578,301994,239541,172075,127972,175810,148134,95675, 
 少数股东损益(万元),--,--,--,--,--,--,--,--,--,0,21552,0, 
 未确认的投资损失(万元),--,--,--,--,--,--,--,--,--,0,0,0, 
 资产减值准备(万元),30332,7430,-835,7427,2691,3513,-494,3247,970,25,1988,1207, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),303340,262948,147284,93411,84613,73145,66203,31384,28357,25336,23132,20438, 
 无形资产摊销(万元),14446,12948,7318,4453,2105,1186,910,678,571,423,325,8, 
 长期待摊费用摊销(万元),778,351,--,1013,1002,767,472,--,--,0,0,129, 
 待摊费用的减少(万元),--,--,--,--,--,--,--,--,--,0,0,0, 
 预提费用的增加(万元),--,--,--,--,--,--,--,--,--,0,0,0, 
 处置固定资产、无形资产和其他长期资产的损失(万元),21770,8503,16002,22280,2944,16982,1387,10,504,1003,573,11, 
 固定资产报废损失(万元),--,--,--,--,--,--,--,--,--,0,0,0, 
 公允价值变动损失(万元),--,--,347,-347,-1602,-267,944,1478,-552,85,437,-207, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--,--,--,--,0,0,0, 
 预计负债(万元),--,--,--,--,--,--,--,--,--,0,0,0, 
 财务费用(万元),83625,97545,69431,59811,20995,27199,14022,1328,5480,2241,5381,4239, 
 投资损失(万元),-12556,-5275,-339,126,1652,-437,-995,-20341,-2303,-491,-14826,-1425, 
 递延所得税资产减少(万元),-57773,-11444,-4798,-14354,-4109,-4923,-2486,908,-872,1846,2841,-4167, 
 递延所得税负债增加(万元),-329,-251,120,-290,257,-81,-51,-91,-27,-753,-189,68, 
 存货的减少(万元),-266316,-16524,-118836,-74591,-27223,-65698,-16955,-39685,-15623,4859,-16752,5721, 
 经营性应收项目的减少(万元),-937682,-281651,122706,53116,-2168,-146748,-133670,-127535,9615,22755,-91274,-26242, 
 经营性应付项目的增加(万元),510650,205500,-6116,-71758,-70810,172685,33457,17740,-8253,-33117,46916,-2221, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--,--,--,--,--,0,0,0, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--,--,--,--,--,0,0,0, 
 其他(万元),--,--,--,--,--,1303,-1043,140,-400,0,0,0, 
 经营活动产生现金流量净额(万元),1021215,734884,460239,402051,386926,380618,201243,41336,145438,200020,128238,93235, 
 债务转为资本(万元),236108,--,250749,--,--,--,--,--,--,0,0,0, 
 一年内到期的可转换公司债券(万元),--,--,--,--,--,--,--,--,--,0,0,0, 
 融资租入固定资产(万元),--,--,--,--,--,--,--,--,--,0,0,0, 
 现金的期末余额(万元),304630,196285,206229,99463,98892,137261,177583,89532,34643,127160,137012,22833, 
 现金的期初余额(万元),196285,206229,99463,98892,137261,177583,89532,34643,127160,137012,22833,19312, 
 现金等价物的期末余额(万元),--,--,--,--,--,--,--,--,--,0,0,0, 
 现金等价物的期初余额(万元),--,--,--,--,--,--,--,--,--,0,0,0, 
 现金及现金等价物的净增加额(万元),108345,-9944,106766,571,-38368,-40322,88051,54889,-92518,-9852,114179,3521, 

