 报告日期,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31, 
 存货的减少(万元),-134538,-52074,14740,-142398,-173160,-63739,-106982,-44963,-6943,-14434,-31258,-29605, 
 经营性应收项目的减少(万元),7408,-29546,-99891,-38481,-49544,-75078,-71868,-60208,-27533,-6021,-36508,-18886, 
 经营性应付项目的增加(万元),69445,79689,31778,200047,208809,332179,222256,175654,154750,-11264,90330,51116, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--,--,--,--,0,0,0,0, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--,--,--,--,0,0,0,0, 
 其他(万元),--,--,--,--,--,--,--,--,0,0,-1465,0, 
 经营活动产生现金流量净额(万元),193012,199957,133877,201196,175889,312006,154238,178746,202860,51650,105788,83751, 
 债务转为资本(万元),--,--,--,--,--,--,--,--,0,0,0,0, 
 一年内到期的可转换公司债券(万元),--,--,--,--,--,--,--,--,0,0,0,0, 
 融资租入固定资产(万元),--,--,--,--,--,--,--,--,0,0,0,0, 
 现金的期末余额(万元),751676,590527,445956,1156676,1063411,1128891,756688,646990,535562,365820,357943,301669, 
 现金的期初余额(万元),590527,445956,399426,1063411,1128891,809469,646990,535562,365820,357943,301669,267709, 
 现金等价物的期末余额(万元),--,--,--,--,--,--,--,--,0,0,0,0, 
 现金等价物的期初余额(万元),--,--,--,--,--,--,--,--,0,0,0,0, 
 现金及现金等价物的净增加额(万元),161149,144571,46530,93265,-65481,319422,109697,111428,169742,7877,56274,33960, 

