 报告日期,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31, 
 投资活动现金流入小计(万元),130544,184729,50915,171,115,121,203,146,156,145, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),38348,44429,35658,18946,19046,24419,12726,8234,3902,3708, 
 投资所支付的现金(万元),--,--,700,--,--,--,--,--,--,--, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,89187,--,--,--,--,3561,1341,--,--, 
 支付的其他与投资活动有关的现金(万元),126000,168000,102526,--,--,--,--,2030,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),164348,301616,138884,18946,19046,24419,16287,11605,3902,3708, 
 投资活动产生的现金流量净额(万元),-33804,-116886,-87969,-18775,-18931,-24298,-16084,-11459,-3745,-3563, 
 吸收投资收到的现金(万元),--,100500,101023,--,237,--,81517,--,--,--, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,237,--,--,--,--,--, 
 取得借款收到的现金(万元),--,88897,--,4182,8499,8844,33394,22053,25687,25677, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 筹资活动现金流入小计(万元),0,189397,101023,4182,8736,8844,114911,22053,25687,25677, 
 偿还债务支付的现金(万元),115,89134,2240,3698,15408,25339,31635,22741,21000,18670, 
 分配股利、利润或偿付利息所支付的现金(万元),12886,13101,6150,5100,4304,7182,5196,6896,4943,5910, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),--,151,80,--,--,232,893,1266,--,--, 
 筹资活动现金流出小计(万元),13001,102386,8470,8798,19712,32753,37725,30903,25943,24580, 
 筹资活动产生的现金流量净额(万元),-13001,87011,92553,-4616,-10976,-23909,77186,-8850,-256,1097, 
 汇率变动对现金及现金等价物的影响(万元),-1060,-2934,2215,319,-651,-261,-223,-293,-44,-186, 
 现金及现金等价物净增加额(万元),13363,-17544,43459,-8735,-10745,-41827,79787,-4994,5425,3844, 
 加:期初现金及现金等价物余额(万元),49365,66909,23450,32185,42930,84757,4970,9964,4538,694, 
 期末现金及现金等价物余额(万元),62728,49365,66909,23450,32185,42930,84757,4970,9964,4538, 
 净利润(万元),38532,31870,25792,9686,12354,10925,12024,9980,6340,9362, 
 少数股东损益(万元),--,--,--,--,--,--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--,--,--,--,--,--, 
 资产减值准备(万元),1868,1612,2938,1512,546,1410,1663,1095,747,262, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),17323,15003,9668,7607,6223,4523,3528,2256,1849,1679, 
 无形资产摊销(万元),1170,867,358,313,248,135,97,57,54,55, 
 长期待摊费用摊销(万元),163,155,279,76,20,12,1,2,2,2, 
 待摊费用的减少(万元),--,--,--,--,--,--,--,--,--,--, 
 预提费用的增加(万元),--,--,--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),-33,256,164,263,74,23,46,32,0,14, 
 固定资产报废损失(万元),142,--,--,--,--,--,--,--,--,--, 
 公允价值变动损失(万元),--,--,--,--,--,--,--,--,--,--, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--,--,--,--,--, 
 预计负债(万元),--,--,--,--,--,--,--,--,--,--, 
 财务费用(万元),617,2265,-2191,-223,730,495,1171,532,1502,2206, 
 投资损失(万元),-1142,-1664,-1705,-208,-111,-164,-185,-162,-53,-298, 
 递延所得税资产减少(万元),-390,-583,-875,-220,-24,104,-449,62,-146,110, 
 递延所得税负债增加(万元),-318,-222,-7,-43,-19,2,-17,--,--,--, 
 存货的减少(万元),-1374,-21699,-12742,-1749,-3339,-4327,-1277,-1532,2314,-2289, 
 经营性应收项目的减少(万元),-5640,-4037,-3245,-5941,-122,-6746,-1589,-1891,-4028,488, 
 经营性应付项目的增加(万元),10310,-8558,18226,3265,3237,295,3895,5175,891,-5096, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--,--,--,--,--,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--,--,--,--,--,--, 
 其他(万元),--,--,--,--,--,-46,--,--,--,--, 
 经营活动产生现金流量净额(万元),61228,15265,36660,14338,19814,6641,18908,15607,9470,6496, 
 债务转为资本(万元),--,--,--,--,--,--,--,--,--,--, 
 一年内到期的可转换公司债券(万元),--,--,--,--,--,--,--,--,--,--, 
 融资租入固定资产(万元),--,--,--,--,--,--,--,--,--,--, 
 现金的期末余额(万元),62728,49365,66909,23450,32185,42930,84757,4970,9964,4538, 
 现金的期初余额(万元),49365,66909,23450,32185,42930,84757,4970,9964,4538,694, 
 现金等价物的期末余额(万元),--,--,--,--,--,--,--,--,--,--, 
 现金等价物的期初余额(万元),--,--,--,--,--,--,--,--,--,--, 
 现金及现金等价物的净增加额(万元),13363,-17544,43459,-8735,-10745,-41827,79787,-4994,5425,3844, 

