报告日期,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,
在建工程(万元),2783116,3807129,4251669,5504681,6045205,5027016,3782866,2706832,1608813,2176626,1493390,1048619,
工程物资(万元),328337,615919,450038,631532,576464,441324,350459,402680,93475,49076,29385,25836,
固定资产清理(万元),--,--,--,--,--,--,--,--,0,--,--,0,
生产性生物资产(万元),--,--,--,--,--,--,--,--,0,--,--,0,
公益性生物资产(万元),--,--,--,--,--,--,--,--,0,--,--,0,
油气资产(万元),--,--,--,--,--,--,--,--,0,--,--,0,
无形资产(万元),244416,269267,237768,250593,261936,231090,186175,114917,55436,42679,48309,36661,
开发支出(万元),--,--,--,--,--,--,--,--,0,--,--,0,
商誉(万元),43110,43323,43323,43323,42339,25724,25724,24026,4692,3034,3216,0,
长期待摊费用(万元),6240,6150,3731,2340,6580,1885,1817,1681,316,14,92,1773,
股权分置流通权(万元),--,--,--,--,--,--,--,--,0,--,--,0,
递延所得税资产(万元),49834,44696,69715,74930,76640,67755,58910,58656,27507,29904,4532,6571,
其他非流动资产(万元),329385,345043,280941,235261,36672,17444,18588,1809,1809,--,--,0,
非流动资产合计(万元),25608162,25555550,23537179,22936942,22369441,18885700,16407370,13670577,8210266,6014208,4857463,3813069,
资产总计(万元),27412993,27126695,25018481,24625310,24067710,20761492,18218422,15015127,8978047,6873901,5960577,4602462,
短期借款(万元),3542912,2796939,2643064,2474554,3507755,2565578,4296905,4704895,2779059,1577750,1375150,647129,
向中央银行借款(万元),--,--,--,--,--,--,--,--,0,--,--,0,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,0,--,--,0,
拆入资金(万元),--,--,--,--,--,--,--,--,0,--,--,0,
交易性金融负债(万元),--,--,--,--,--,--,--,86,49,0,--,0,
衍生金融负债(万元),--,--,--,--,--,--,--,--,0,--,--,0,
应付票据(万元),249659,486254,409908,554781,381602,233886,261081,618224,303030,71308,124777,61207,
应付账款(万元),1258217,1284361,1134591,1401618,1407609,1144712,1253901,792380,314747,148977,278814,225868,
预收账款(万元),39093,93979,18850,17449,25755,8607,15387,10103,8359,30,181377,93751,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,0,--,--,0,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,0,--,--,0,
应付职工薪酬(万元),28819,28245,22706,19116,23947,20936,19046,20811,7617,7023,7828,23924,
应交税费(万元),92747,72412,90737,89281,-330864,-255586,-165377,-99657,-41633,-810,43697,37764,
应付利息(万元),50124,64370,84072,118562,94304,84150,42827,33215,15077,15369,10985,9749,
应付股利(万元),42657,57433,183061,139605,206700,186657,97363,60313,18653,10268,14564,9111,
其他应交款(万元),--,--,--,--,--,--,--,--,0,--,--,0,
应付保证金(万元),--,--,--,--,--,--,--,--,0,--,--,0,
内部应付款(万元),--,--,--,--,--,--,--,--,0,--,--,0,
其他应付款(万元),646205,991570,508112,506488,515392,521599,486235,390795,245961,186010,147867,117368,
预提费用(万元),--,--,--,--,--,--,--,--,0,--,--,0,
预计流动负债(万元),--,--,--,--,--,--,--,--,0,--,--,0,
应付分保账款(万元),--,--,--,--,--,--,--,--,0,--,--,0,
保险合同准备金(万元),--,--,--,--,--,--,--,--,0,--,--,0,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,0,--,--,0,
代理承销证券款(万元),--,--,--,--,--,--,--,--,0,--,--,0,
国际票证结算(万元),--,--,--,--,--,--,--,--,0,--,--,0,
国内票证结算(万元),--,--,--,--,--,--,--,--,0,--,--,0,
递延收益(万元),--,--,--,--,--,--,--,--,0,--,--,0,
应付短期债券(万元),--,--,--,--,--,--,--,--,0,--,--,0,
一年内到期的非流动负债(万元),857005,900522,1061695,1572954,1212917,453738,217100,370753,333349,68302,21561,0,
其他流动负债(万元),1000000,2174600,2660000,2120000,1280000,1498292,127000,630000,110000,50000,170000,80000,
流动负债合计(万元),7807437,8950684,8816796,9014407,8325116,6462569,6651468,7531918,4094268,2134228,2376620,1305872,
长期借款(万元),10559192,9109087,7531213,7089466,7608421,6646902,5870763,2751974,1817628,2136923,1238137,1262780,
应付债券(万元),249229,248894,766928,797011,1287005,1630275,789360,339929,324216,309453,--,72552,
长期应付款(万元),826411,783550,765291,564239,609268,754481,786448,663022,301533,311577,351577,355482,
专项应付款(万元),1247,1489,1920,1354,4252,3516,1826,1250,629,1742,1843,1912,
预计非流动负债(万元),1177,--,--,--,--,--,--,--,0,--,--,0,
长期递延收益(万元),132375,177384,180875,178311,--,--,--,--,0,--,--,--,
递延所得税负债(万元),3096,2907,3046,3357,3677,2893,3178,2149,0,--,--,267,
其他非流动负债(万元),566948,435543,20,400528,359239,120599,90805,70851,42286,31136,20723,10070,
非流动负债合计(万元),12339674,10758854,9249294,9034266,9871862,9158666,7542379,3829175,2486292,2790831,1612281,1703063,
负债合计(万元),20147111,19709539,18066090,18048673,18196978,15621234,14193847,11361093,6580560,4925059,3988901,3008936,
实收资本(或股本)(万元),1965040,1965040,1965040,1882288,1722992,1722976,1539457,1539457,544777,544777,272388,243592,
资本公积(万元),537395,548029,640570,541132,541150,550413,358756,309846,301565,295050,475540,382582,
减:库存股(万元),--,--,--,--,--,--,--,--,0,--,--,0,
专项储备(万元),2004,1970,1659,874,100,--,68,144,485,--,--,--,
盈余公积(万元),454214,417630,369249,322079,259003,214716,182963,153486,136139,122990,115929,102423,
一般风险准备(万元),--,--,--,--,--,--,--,--,0,--,--,0,
未确定的投资损失(万元),--,--,--,--,--,--,--,--,0,--,--,0,
未分配利润(万元),1855293,1901572,1691375,1612760,1308209,976595,656526,474411,585345,455343,478031,345106,
拟分配现金股利(万元),--,--,--,--,--,--,--,--,0,--,--,0,
外币报表折算差额(万元),--,--,--,--,--,--,--,--,0,--,-1,0,
归属于母公司股东权益合计(万元),5149667,5202042,5038371,4715273,3831454,3464700,2737769,2477345,1568312,1418160,1341886,1073703,
少数股东权益(万元),2116214,2215114,1914020,1861364,2039277,1675557,1286805,1176688,829175,530682,629789,519823,
所有者权益(或股东权益)合计(万元),7265881,7417156,6952392,6576637,5870731,5140257,4024574,3654034,2397487,1948842,1971676,1593527,
负债和所有者权益(或股东权益)总计(万元),27412993,27126695,25018481,24625310,24067710,20761492,18218422,15015127,8978047,6873901,5960577,4602462,		
  
